Area Code,Phone,customer_worth,churn_prob,expected_loss
415,345-9140,96.15,0.983580988665,94.5713120601
415,343-5709,92.2,0.999999092867,92.1999163623
415,373-2053,90.46,0.99632272493,90.1273536972
408,345-3787,89.76,0.999999026274,89.7599125984
510,352-6976,89.31,0.997021461085,89.0439866895
510,393-4823,88.66,0.999991584771,88.6592539058
510,348-1163,88.97,0.992440650866,88.2974447076
510,355-2464,88.13,0.999999210027,88.1299303797
408,409-1856,88.39,0.993151813128,87.7846887624
415,370-9116,87.89,0.995397678031,87.4855019221
415,394-5489,87.35,0.999999310947,87.3499398112
415,359-6232,87.28,0.996021616861,86.9327667196
415,406-4100,87.27,0.99539968224,86.8685302691
510,419-5171,85.53,0.999984446632,85.5286697205
408,335-2967,85.09,0.99999772322,85.0898062688
415,401-7359,84.93,0.999999396847,84.9299487742
408,373-6922,84.82,0.999999720054,84.819976255
510,332-6181,84.56,0.999997371901,84.5597777679
415,405-1108,84.67,0.995923025298,84.3248025519
415,358-2490,84.85,0.991684647966,84.1444423799
510,343-2592,84.1,0.999999438608,84.0999527869
510,366-1084,83.99,0.992166000187,83.3320223557
415,372-6497,83.37,0.997269142905,83.142328444
510,373-7974,82.96,0.999989103762,82.9590960481
510,401-6982,84.92,0.974045688929,82.7159599038
415,394-7447,83.52,0.988930492084,82.5954746989
408,335-1874,83.14,0.992135470732,82.4861430367
415,406-2866,82.29,0.999992094593,82.2893494641
510,370-5527,85.46,0.96227557482,82.2360706241
415,359-4336,82.26,0.996219843619,81.9490443361
415,374-1981,84.08,0.971312862288,81.6679854612
510,419-8987,82.32,0.990795958293,81.5623232867
408,333-7631,82.8,0.983785278326,81.4574210454
408,357-6039,82.58,0.986201465793,81.4405170452
415,385-4766,82.45,0.986802333296,81.3618523802
415,402-3892,85.7,0.947249614821,81.1792919901
415,367-5226,82.51,0.983577643926,81.1549914003
510,391-1499,83.35,0.971351395098,80.9621387814
415,383-1657,81.81,0.989534299503,80.9538010423
415,374-5353,81.75,0.988149532258,80.7812242621
510,408-4836,84.68,0.949309936496,80.3875654225
510,387-2604,81.41,0.98156167871,79.9089362638
408,389-4608,80.44,0.993052913165,79.881176335
415,328-5188,80.52,0.989495583405,79.6741843758
408,405-6189,79.89,0.995782815083,79.553089097
408,344-5181,80.98,0.982059598989,79.5271863261
415,357-1938,81.84,0.971333461049,79.4939304523
415,417-4456,80.74,0.982624931798,79.3371369933
415,419-1714,81.0,0.976596301435,79.1043004163
415,347-8659,82.76,0.951875465213,78.777213501
408,413-2194,80.07,0.979804267464,78.4529276959
415,375-3826,79.69,0.983876918755,78.4051516556
415,330-4978,80.36,0.971334659127,78.0564532074
408,335-4888,79.64,0.978558074231,77.9323650318
408,405-4920,82.38,0.945353139089,77.8781915981
510,378-3625,81.57,0.954274761317,77.8401922806
408,376-4292,80.71,0.963235606334,77.7427457872
408,387-5533,80.01,0.971325502127,77.7157534252
415,348-6853,79.97,0.971798258192,77.7147067076
415,344-1970,79.39,0.971357686531,77.1160867337
408,377-5043,79.03,0.973987891697,76.9742630808
510,330-9354,78.8,0.976435412013,76.9431104666
408,360-1596,79.68,0.965496620148,76.9307706934
415,334-6519,79.13,0.971353731934,76.8632208079
408,379-8681,79.76,0.963144949056,76.8204411367
415,373-1448,78.88,0.970906269859,76.5850865665
415,416-1676,78.74,0.971350238076,76.4841177461
415,341-8719,80.35,0.950133747952,76.3432466479
408,359-5731,78.53,0.97136721915,76.2814677199
415,400-7002,79.54,0.957447481376,76.1553726686
415,367-3220,78.22,0.971343734027,75.9785068756
408,349-3005,78.17,0.97092097835,75.8968928776
415,413-7468,79.38,0.956085387791,75.8940580829
415,352-7752,76.03,0.996080996908,75.7320381949
408,384-4938,77.92,0.971346626128,75.6873291079
415,353-6007,78.19,0.966550873168,75.574612773
415,387-5453,78.93,0.954670786131,75.3521651494
408,374-9203,79.37,0.943956578265,74.9218336169
510,372-7990,77.3,0.966445876304,74.7062662383
415,341-1191,82.28,0.902566452667,74.2631677254
510,400-2181,75.48,0.978470329121,73.8549404421
510,419-1674,77.54,0.952281797619,73.8399305873
510,420-9971,74.05,0.993415533354,73.5624202449
415,327-8495,80.39,0.914593785252,73.5241943964
415,418-6737,77.1,0.952758423219,73.4576744302
415,415-5476,78.15,0.937389314989,73.2569749664
415,406-7844,79.39,0.922007151028,73.1981477201
510,408-5322,77.48,0.944426931779,73.1741986742
415,360-2329,76.57,0.955496337858,73.1623545898
408,422-5350,76.38,0.957754782567,73.1533102925
408,341-4463,80.87,0.90231304901,72.9700562735
415,390-9735,75.07,0.968840116425,72.73082754
415,351-7269,92.29,0.785689893798,72.5113202986
408,330-5824,75.54,0.959128724006,72.4525838114
510,377-1273,77.16,0.935968414852,72.2193228899
510,365-5979,77.07,0.937013554157,72.2156346189
408,332-5949,78.77,0.913482550202,71.9550204794
415,363-1413,73.05,0.984734108634,71.9348266357
408,400-8375,76.29,0.942904284698,71.9341678796
415,332-5820,77.46,0.926374689873,71.7569834776
408,329-9067,76.63,0.93533063575,71.6743866175
415,416-2778,77.68,0.922170618483,71.6342136438
510,377-4169,73.25,0.971369839135,71.1528407167
408,360-3324,76.67,0.926357144246,71.0238022493
408,400-8538,72.73,0.971337548393,70.6453798946
510,345-6961,72.44,0.97135829206,70.3651946768
408,395-1901,75.25,0.935064184688,70.3635798978
408,402-1942,71.02,0.990045616039,70.3130396511
415,375-1476,75.54,0.927004350059,70.0259086034
510,342-8167,75.87,0.919245000214,69.7431181662
510,328-9797,78.4,0.889251301926,69.717302071
408,340-8323,76.37,0.912258836659,69.6692073556
415,338-6018,79.56,0.87511760619,69.6243567485
510,388-7540,75.08,0.923498743649,69.3362856732
415,355-6837,76.91,0.897914828944,69.0586294941
510,353-7292,81.98,0.837719461698,68.67624147
415,366-8939,70.64,0.971328888081,68.6146726541
415,366-7247,69.21,0.985485118444,68.2054250475
415,358-4576,76.18,0.894349730518,68.1315624708
415,340-4972,69.95,0.971334360772,67.944838536
510,403-6187,71.06,0.951203848021,67.5925454403
408,352-5787,71.04,0.947259974837,67.2933486124
415,408-1913,79.19,0.849588624791,67.2789231972
415,347-3406,76.74,0.876671988145,67.2758083702
510,329-9667,72.17,0.931912414853,67.25611898
415,351-7309,75.04,0.895375144566,67.1889508482
510,329-2786,69.16,0.971350915157,67.1786292923
415,339-1330,78.82,0.851190017242,67.090797159
415,373-4264,78.86,0.845953439455,66.7118882354
415,345-3947,76.89,0.866876734425,66.6541521099
415,379-6970,75.52,0.875488660996,66.1169036784
415,352-5466,79.59,0.830515655388,66.1007410123
408,373-8908,76.84,0.859659290922,66.0562199145
408,358-7165,76.31,0.862824222418,65.8421164127
510,411-6823,74.11,0.886118505201,65.6702424205
415,417-4810,76.98,0.851660150085,65.5607983535
415,363-8033,81.07,0.807970809165,65.502193499
415,402-3370,90.12,0.72072029547,64.9513130277
415,375-2975,67.42,0.962636546569,64.9009559697
415,405-3097,76.3,0.850278085035,64.8762178882
415,378-1936,79.42,0.815972810692,64.8045606252
415,384-6132,68.62,0.944147527317,64.7874033245
415,407-2259,76.59,0.843773169075,64.6245870194
510,411-2958,76.54,0.842422088017,64.4789866168
415,408-6326,75.12,0.854505720234,64.190469704
415,383-4061,71.1,0.90147464016,64.0948469154
510,366-6345,65.97,0.97137933993,64.0818950552
415,334-5029,76.64,0.835019617506,63.9959034857
408,379-1720,74.91,0.847792908825,63.5081668001
415,420-8435,66.98,0.946616086858,63.4043454978
510,363-1069,66.75,0.948614879919,63.3200432346
415,397-6542,76.86,0.817736853355,62.8512545488
408,399-2457,77.09,0.806507978047,62.1737000277
510,388-6026,62.91,0.984899164781,61.9600064564
510,365-7774,63.43,0.971334386273,61.6117401213
415,413-7743,63.43,0.969023398749,61.4651541827
408,335-1697,75.02,0.812022514009,60.917929001
408,416-6886,63.1,0.965133410248,60.8999181867
415,358-1346,69.46,0.873920318299,60.7025053091
415,417-1488,74.66,0.810652522291,60.5233173142
408,344-3160,71.87,0.840218568378,60.3865085093
415,336-8343,75.86,0.792348000938,60.1075193512
415,378-9542,75.39,0.792466370051,59.7440396382
415,366-7912,76.5,0.775962596334,59.3611386196
415,384-7236,73.36,0.807602853717,59.2457453487
510,355-6560,68.66,0.861968714649,59.1827719478
510,378-1884,77.34,0.76397395836,59.0857459396
510,420-9838,75.65,0.779479870144,58.9676521764
510,414-7090,63.16,0.93138750162,58.8264346023
408,340-9449,71.21,0.824553745742,58.7164722343
510,417-4826,59.97,0.971385043515,58.2539610596
415,343-7019,72.24,0.79009790823,57.0766728905
415,358-9095,74.64,0.76340210061,56.9803327896
415,348-5728,76.34,0.744304755964,56.8202250703
408,382-8079,67.72,0.836589959723,56.6538720724
408,385-5688,76.25,0.740813152755,56.4870028976
415,374-7787,64.53,0.87495763113,56.4610159368
408,337-4600,78.67,0.715976050351,56.3258358811
415,418-8568,75.15,0.746013932558,56.0629470317
415,387-1535,75.67,0.734572925573,55.5851332781
408,329-7347,75.15,0.737646206339,55.4341124064
415,420-6465,59.36,0.932728307343,55.3667523239
510,384-5004,76.34,0.722560178033,55.160243991
408,334-8694,75.71,0.728506722283,55.155243944
408,342-4122,75.86,0.718363389136,54.4950466999
415,393-6840,54.49,0.987965163241,53.834221745
415,335-6508,76.08,0.705086318946,53.6429671454
408,410-7611,57.34,0.930698973551,53.3662791434
510,385-7861,71.47,0.746231275538,53.3331492627
415,330-7754,54.17,0.984382756809,53.3240139364
510,366-3358,78.13,0.68203432944,53.2873421592
